,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Team
9,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,TEX
10,10,Ezequiel DurÃ¡n,25,3B,0.0,92,285,268,26,66,11,0,3,20,1,2,14,63,.246,.288,.321,.609,75,.273,75,86,6,2,0,1,0,573DH/6498,,TEX
11,11,Travis Jankowski*,33,DH,0.3,104,207,190,19,38,5,0,1,12,11,1,12,44,.200,.266,.242,.508,48,.256,54,46,3,5,0,0,0,9H7D8,,TEX
12,12,Josh Jung,26,3B,0.6,46,188,178,19,47,5,1,7,16,4,0,8,48,.264,.298,.421,.719,104,.319,103,75,1,1,0,1,0,5/D,,TEX
13,13,Evan Carter*,21,LF,0.6,45,162,144,23,27,6,2,5,15,2,0,15,43,.188,.272,.361,.633,80,.284,79,52,1,2,0,1,0,7/9HD8,,TEX
14,14,Carson Kelly,29,C,-0.2,31,110,102,11,24,5,0,2,8,0,0,8,15,.235,.291,.343,.634,82,.286,83,35,3,0,0,0,0,2/DH,,TEX
15,15,Andrew Knizner,29,C,-0.9,35,93,90,5,15,1,0,1,9,0,0,1,22,.167,.183,.211,.394,13,.183,9,19,2,1,0,1,0,2/1D,,TEX
16,16,Jared Walsh*,30,1B,-0.2,17,60,53,9,12,2,0,1,7,0,0,7,21,.226,.317,.321,.637,85,.288,84,17,2,0,0,0,0,3/H,,TEX
17,17,Davis Wendzel,27,3B,-0.1,27,49,47,2,6,2,0,1,2,0,0,1,12,.128,.163,.234,.397,13,.174,3,11,1,1,0,0,0,5/HD43,,TEX
18,18,Derek Hill,28,OF,0.0,16,45,43,5,11,0,0,3,5,2,1,2,14,.256,.289,.465,.754,112,.365,140,20,1,0,0,0,0,/9H87D,,TEX
19,19,Justin Foscue,25,DH,-0.7,15,44,42,3,2,1,0,0,1,0,0,2,18,.048,.091,.071,.162,-52,.080,-65,3,0,0,0,0,0,D/4H3,,TEX
20,20,Jonathan Ornelas,24,IF,0.0,18,40,37,1,8,2,0,0,3,0,0,2,13,.216,.256,.270,.527,52,.237,46,10,0,0,1,0,0,/564H8,,TEX
21,21,Matt Duffy,33,3B,0.2,4,10,7,2,2,0,0,0,0,0,0,2,1,.286,.500,.286,.786,135,.388,156,2,0,1,0,0,0,/5H,,TEX
22,22,Dustin Harris*,24,DH,0.2,2,7,6,1,2,1,0,1,3,0,0,1,2,.333,.429,1.000,1.429,294,.568,285,6,0,0,0,0,0,/D,,TEX
23,23,Sandro Fabian,26,OF,-0.1,3,5,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-121,0,0,0,0,0,0,/79,,TEX
24,24,Sam Huff,26,C,0.0,3,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-19,.172,0,0,0,0,0,0,0,/2H,,TEX
25,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,TEX
26,25,David Robertson,39,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,TEX
27,26,Yerry RodrÃ­guez,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,TEX
28,27,JosÃ© Leclerc,30,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,TEX
29,28,Jacob Latz,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,TEX
30,29,Jonathan HernÃ¡ndez,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,TEX
31,30,JosÃ© UreÃ±a,32,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,TEX
32,31,Owen White,24,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,TEX
33,32,Kirby Yates*,37,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,"AS,CYA-8",TEX
34,,Team Totals,,,20.7,162,6053,5472,683,1302,220,15,176,652,97,25,490,1284,.238,.305,.380,.686,96,.306,96,2080,96,55,6,30,20,,,TEX
0,1,Shea Langeliers,26,C,2.9,137,534,482,58,108,18,2,29,80,4,2,41,145,.224,.288,.450,.739,111,.321,111,217,15,5,0,6,2,*2/HD,,OAK
1,2,Tyler Soderstrom*,22,1B,0.5,61,213,189,18,44,10,0,9,26,0,0,20,53,.233,.315,.429,.743,114,.330,118,81,7,3,0,1,1,3/H2,,OAK
2,3,Zack Gelof,24,2B,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,.211,.270,.362,.632,82,.286,80,180,7,4,3,5,0,*4/H,,OAK
3,4,Max Schuemann,27,SS,0.8,133,459,396,55,87,14,0,7,34,14,1,47,119,.220,.311,.308,.619,82,.292,86,122,8,7,5,4,0,65/4H789,,OAK
4,5,Abraham Toro#,27,3B,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,.240,.293,.350,.643,87,.285,85,118,4,5,2,0,1,54DH/37,,OAK
5,6,Miguel Andujar,29,LF,0.4,75,319,302,31,86,14,1,4,30,3,2,13,42,.285,.320,.377,.697,103,.308,103,114,10,3,0,1,0,7/D3H,,OAK
