,Rk,Player,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Team,WAR,W,L,W-L%,ERA,GS,GF,CG,SHO,SV,IP,ER,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
20,19,Spencer Howard,27,7,,,16,33,,,2,,,,11,21,,,,,,,0,,,0,,,SFG,-0.2,1,1,.500,5.63,2,1,0,0,0,24.0,15,0,0,114,70,3.87,1.833,12.4,0.8,4.1,7.9,1.91
21,20,Tristan Beck,28,7,,,3,14,,,2,,,,4,14,,,,,,,1,,,0,,,SFG,0.5,0,0,,1.69,1,2,0,0,0,16.0,3,0,0,67,234,3.98,1.125,7.9,1.1,2.3,7.9,3.50
22,21,Nick Avila,26,8,,,12,17,,,2,,,,3,14,,,,,,,0,,,0,,,SFG,-0.3,1,0,1.000,8.49,0,4,0,0,0,11.2,11,0,0,55,47,3.77,1.714,13.1,1.5,2.3,10.8,4.67
23,22,Kai-Wei Teng,25,4,,,12,15,,,2,,,,8,7,,,,,,,1,,,0,,,SFG,-0.3,0,0,,9.82,0,0,0,0,0,11.0,12,0,1,55,41,6.71,2.091,12.3,1.6,6.5,5.7,0.88
24,23,Austin Warren,28,6,,,2,9,,,1,,,,5,7,,,,,,,0,,,0,,,SFG,0.3,0,0,,1.69,0,3,0,0,0,10.2,2,0,0,42,237,4.48,1.313,7.6,0.8,4.2,5.9,1.40
25,24,Mitch White,29,3,,,7,8,,,1,,,,5,1,,,,,,,0,,,0,,,SFG,-0.2,0,0,,11.81,0,2,0,0,0,5.1,7,0,1,29,35,8.04,2.438,13.5,1.7,8.4,1.7,0.20
26,25,Daulton Jefferies,28,2,,,13,14,,,2,,,,2,4,,,,,,,0,,,0,,,SFG,-0.6,0,2,.000,17.36,1,0,0,0,0,4.2,9,0,0,31,24,8.31,3.429,27.0,3.9,3.9,7.7,2.00
27,26,Trevor McDonald,23,1,,,0,0,,,0,,,,1,1,,,,,,,0,,,0,,,SFG,0.1,0,0,,0.00,0,1,0,0,0,3.0,0,0,0,10,,3.50,0.333,0.0,0.0,3.0,3.0,1.00
28,27,Tyler Fitzgerald,26,3,,,3,6,,,0,,,,0,0,,,,,,,0,,,0,,,SFG,-0.1,0,0,,9.00,0,3,0,0,0,3.0,3,0,0,14,48,3.17,2.000,18.0,0.0,0.0,0.0,
29,28,Mike Yastrzemski*,33,1,,,2,2,,,0,,,,3,0,,,,,,,0,,,0,,,SFG,-0.1,0,0,,18.00,0,1,0,0,0,1.0,2,0,0,8,30,12.17,5.000,18.0,0.0,27.0,0.0,0.00
30,29,Donovan Walton,30,1,,,0,2,,,0,,,,0,0,,,,,,,0,,,0,,,SFG,0.0,0,0,,0.00,0,1,0,0,0,1.0,0,0,0,5,,3.17,2.000,18.0,0.0,0.0,0.0,
31,30,Raymond Burgos*,25,1,,,1,3,,,0,,,,1,1,,,,,,,0,,,0,,,SFG,-0.1,0,0,,9.00,0,0,0,0,0,1.0,1,0,0,7,60,4.17,4.000,27.0,0.0,9.0,9.0,1.00
32,31,Mike Baumann,28,1,,,2,3,,,0,,,,0,1,,,,,,,0,,,0,,,SFG,-0.1,0,0,,27.00,0,0,0,0,0,0.2,2,0,0,5,23,0.17,4.500,40.5,0.0,0.0,13.5,
33,,Team Totals,,162,,,699,1339,,,153,,,,526,1436,,,,,,,70,,,11,,,SFG,11.2,80,82,.494,4.10,162,160,2,2,36,1433.2,653,6,53,6095,95,3.80,1.301,8.4,1.0,3.3,9.0,2.73
0,1,Austin Gomber*,30,30,,,89,178,,,30,,,,38,116,,,,,,,1,,,0,SP,,COL,2.1,5,12,.294,4.75,30,0,0,0,0,165.0,87,0,3,696,97,4.83,1.309,9.7,1.6,2.1,6.3,3.05
1,2,Ryan Feltner,27,30,,,94,165,,,20,,,,52,138,,,,,,,7,,,0,SP,,COL,1.1,3,10,.231,4.49,30,0,0,0,0,162.1,81,0,4,692,102,4.16,1.337,9.1,1.1,2.9,7.7,2.65
2,3,Cal Quantrill,29,29,,,83,156,,,23,,,,69,110,,,,,,,11,,,0,SP,,COL,1.6,8,11,.421,4.98,29,0,0,0,0,148.1,82,1,6,656,93,5.32,1.517,9.5,1.4,4.2,6.7,1.59
3,4,Kyle Freeland*,31,21,,,73,134,,,22,,,,26,85,,,,,,,1,,,0,SP,,COL,0.0,5,8,.385,5.24,21,0,0,0,0,113.1,66,0,1,490,88,4.90,1.412,10.6,1.7,2.1,6.8,3.27
4,5,Dakota Hudson,29,18,,,66,99,,,11,,,,50,49,,,,,,,5,,,0,SP,,COL,-0.9,2,12,.143,6.17,18,0,0,0,0,89.0,61,0,3,404,75,5.53,1.674,10.0,1.1,5.1,5.0,0.98
